"id";"name";"created_at";"updated_at"
1;"Alsace";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
2;"Aquitaine";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
3;"Auvergne";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
4;"Basse-Normandie";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
5;"Bourgogne";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
6;"Bretagne";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
7;"Centre";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
8;"Champagne-Ardenne";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
9;"Corse";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
10;"Franche-Comté";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
11;"Guadeloupe";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
12;"Guyane";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
13;"Haute-Normandie";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
14;"Île-de-France";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
15;"La Réunion";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
16;"Languedoc-Roussillon";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
17;"Limousin";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
18;"Lorraine";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
19;"Martinique";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
20;"Mayotte";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
21;"Midi-Pyrénées";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
22;"Nord-Pas-de-Calais";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
23;"Pays de la Loire";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
24;"Picardie";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
25;"Poitou-Charentes";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
26;"Provence-Alpes-Côte d'Azur";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
27;"Rhône-Alpes";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
28;"Saint-Pierre-et-Miquelon";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
